"","logFC","logCPM","LR","PValue","FDR"
"PSME_09780",-5.93228215465224,4.7665426887023,15.522631385513,8.15233700161802e-05,0.00869832568713868
"PSME_14852",-13.1360396926289,3.67451027424194,15.520628324914,8.16097984046752e-05,0.00869832568713868
"PSME_14322",-14.5179623638143,3.71308205982012,15.5124439572579,8.19638977642347e-05,0.00869832568713868
"PSME_07997",-13.8319188797229,3.73748748637004,15.5106974676333,8.20396601112356e-05,0.00869832568713868
"PSME_48445",-3.40791717886412,6.93160886120145,15.4832843778042,8.32381087448757e-05,0.00878751501676589
"PSME_26177",-13.0620661519638,4.22071725253239,15.4362889483201,8.53337904886587e-05,0.00897025888222234
"PSME_30581",-12.2774298604215,4.26720664212225,15.4117006523872,8.64513361351475e-05,0.00904906368618024
"PSME_43141",-13.0064665789865,3.6431644901533,15.3564693335438,8.90156064361511e-05,0.00926722973205142
"PSME_21238",-12.4241808350632,4.07356085125242,15.3505961537834,8.92927482811059e-05,0.00926722973205142
"PSME_35855",-4.15499857674917,5.42472043883321,15.3408189840102,8.97560375049516e-05,0.00926722973205142
"PSME_02883",-13.1527196791161,4.06161979583696,15.3347967818939,9.00426012667814e-05,0.00926722973205142
"PSME_38697",-12.3008113535255,4.16221186312149,15.275442832936,9.29166557918053e-05,0.00951098041120339
"PSME_31472",-3.04277787226863,6.84608011272958,15.2700108085226,9.31842539678029e-05,0.00951098041120339
"PSME_33176",-12.65147413713,4.26739181257179,15.2482078170867,9.42661624641206e-05,0.00958164902600181
"PSME_09987",-13.2287539449392,4.66646736666767,15.2385054444063,9.47516693178248e-05,0.00959136445218048
"PSME_02015",-12.4520549347021,4.01176675635821,15.2263047649214,9.53657647577387e-05,0.00961396344881498
"PSME_38559",-12.5972879404393,4.25403785027353,15.1912501068932,9.71525442206757e-05,0.00971833730514399
"PSME_33750",-4.34939730532559,5.50912193568565,15.1834208372431,9.75561922587915e-05,0.00971833730514399
"PSME_49066",-4.34865252282398,5.75720470589127,15.182836980752,9.75863612639469e-05,0.00971833730514399
"PSME_13939",-13.9318420073753,3.82737258476261,15.1639782996058,9.85658919771633e-05,0.00977630568892848
"PSME_15202",-3.66663974345446,6.00833223624837,15.1325123647646,0.000100222329232238,0.00990067813033975
